time (ms),time_raw,x_accel,y_accel,z_accel,g_measured
0,5329.975217,-0.15239,-1.008377,0.009232,1.019869
2.954,5330.004757,-0.134415,-0.975433,0.002151,0.984653
5.9083,5330.0343,-0.129318,-0.980377,0.008835,0.988909
8.8622,5330.063839,-0.148544,-0.980011,0.023361,0.99148
11.8162,5330.093379,-0.12587,-0.979126,-0.000183,0.987183
14.7701,5330.122918,-0.125549,-0.977875,-0.008987,0.985942
17.7244,5330.152461,-0.142319,-0.974884,0.0065,0.985239
20.6782,5330.181999,-0.130234,-0.983582,0.008453,0.992202
23.6322,5330.211539,-0.122955,-0.98761,0.017319,0.995385
26.5861,5330.241078,-0.123077,-0.984283,0.025131,0.992267
29.54,5330.270617,-0.125076,-0.980164,0.008789,0.988151
32.4938,5330.300155,-0.124237,-0.977829,-0.002045,0.985692
35.4476,5330.329693,-0.118317,-0.972885,-0.017639,0.980212
38.4014,5330.359231,-0.124161,-0.98616,0.020691,0.994161
41.3551,5330.388768,-0.184006,-0.97142,0.026535,0.98905
44.309,5330.418307,-0.098297,-0.985031,-0.016663,0.990064
47.2631,5330.447848,-0.122314,-0.981949,-0.000931,0.989538
50.2174,5330.477391,-0.123032,-0.97374,-0.008774,0.981521
53.1717,5330.506934,-0.124634,-0.975006,-0.00975,0.982988
56.1256,5330.536473,-0.142929,-0.975677,-0.006699,0.986114
59.0797,5330.566014,-0.13472,-0.981201,-0.00592,0.990424
62.0337,5330.595554,-0.173874,-0.984909,-0.010376,1.000193
64.9875,5330.625092,-0.187042,-0.957458,-0.029922,0.976016
67.9415,5330.654632,-0.165741,-0.969666,-0.051956,0.985099
70.8952,5330.684169,-0.212753,-0.956482,-0.027252,0.980237
73.8491,5330.713708,-0.17453,-0.97496,-0.02388,0.990746
76.803,5330.743247,-0.13649,-0.988586,-0.022095,0.998209
79.7568,5330.772785,-0.120453,-0.991379,0.008881,0.998709
82.7108,5330.802325,-0.070969,-0.998093,0.022339,1.000862
85.6648,5330.831865,-0.043213,-0.990448,0.02037,0.991599
88.6192,5330.861409,-0.086014,-0.987,0.041916,0.991627
91.5733,5330.89095,-0.099396,-1.003586,0.0466,1.009572
94.5273,5330.92049,-0.095718,-1.005447,0.017761,1.010149
97.4815,5330.950032,-0.075089,-0.990448,0.012909,0.993374
100.4357,5330.979574,-0.120346,-0.992325,0.004761,0.999607
103.3902,5331.009119,-0.118011,-0.981888,0.020264,0.989162
106.3441,5331.038658,-0.180161,-0.973145,-0.019608,0.989875
109.2983,5331.0682,-0.198456,-0.992905,-0.001282,1.012544
112.2517,5331.097734,-0.205032,-0.956619,-0.050903,0.979668
115.2064,5331.127281,-0.163727,-0.9608,-0.029968,0.975111
118.1605,5331.156822,-0.192566,-0.959763,-0.033707,0.97947
121.1145,5331.186362,-0.174942,-0.960693,-0.055664,0.978077
124.0685,5331.215902,-0.159592,-0.981415,-0.054825,0.995816
127.0227,5331.245444,-0.124847,-0.989777,-0.029572,0.998058
129.976,5331.274977,-0.160477,-0.960968,0.018204,0.974445
132.9304,5331.304521,-0.121323,-0.989548,0.004333,0.996967
135.8844,5331.334061,-0.109222,-0.978653,0.014542,0.984836
138.8382,5331.363599,-0.126556,-0.946426,-0.006775,0.954875
141.792,5331.393137,-0.080032,-0.955383,-0.036865,0.959438
144.7427,5331.422644,-0.103867,-1.022293,-0.001678,1.027557
147.6961,5331.452178,-0.125183,-0.960052,-0.002258,0.968182
150.6507,5331.481724,-0.214539,-0.949341,-0.01149,0.973348
153.6045,5331.511262,-0.061188,-0.971481,-0.141953,0.983702
156.5586,5331.540803,-0.109116,-0.977081,-0.102051,0.988437
159.5126,5331.570343,-0.00293,-0.930756,-0.041214,0.931672
162.4666,5331.599883,-0.190979,-0.981003,0.085526,1.003072
165.4205,5331.629422,-0.112366,-1.02298,0.060028,1.030882
168.3751,5331.658968,-0.121475,-1.008072,0.107178,1.021006
171.3291,5331.688508,-0.276123,-0.964325,0.02066,1.003291
174.2831,5331.718048,-0.310928,-0.980682,-0.002304,1.028795
177.2374,5331.747591,-0.259033,-0.947571,0.002075,0.982341
180.1915,5331.777132,-0.3004,-0.951965,-0.04744,0.999364
183.1427,5331.806644,-0.298615,-0.935745,0.005798,0.982254
186.0993,5331.83621,-0.270645,-0.970947,0.037476,1.008658
189.0533,5331.86575,-0.153656,-0.99498,0.007324,1.006801
192.0072,5331.895289,-0.194672,-0.959579,0.082932,0.982633
194.961,5331.924827,-0.13623,-0.969635,0.059525,0.980966
197.9149,5331.954366,-0.138947,-0.987976,0.032944,0.998243
200.8691,5331.983908,-0.234573,-0.976608,0.071869,1.006953
203.8233,5332.01345,-0.199478,-0.932129,0.06282,0.955302
206.7774,5332.042991,-0.233734,-0.986542,0.096069,1.018394
209.7317,5332.072534,-0.152008,-0.978043,0.057907,0.991477
212.6857,5332.102074,-0.112778,-0.966415,0.082947,0.976503
215.6398,5332.131615,-0.223999,-0.974167,0.117279,1.006445
218.594,5332.161157,-0.175934,-0.9897,0.107605,1.010959
221.5483,5332.1907,-0.148453,-0.897186,0.010208,0.909442
224.5026,5332.220243,-0.227402,-0.962143,0.065765,0.990836
227.4567,5332.249784,-0.170517,-0.991318,0.05481,1.007368
230.4107,5332.279324,-0.126358,-0.965332,0.042953,0.974514
233.365,5332.308867,-0.168152,-0.969864,0.072769,0.987019
236.3191,5332.338408,-0.096298,-1.023743,0.054459,1.029703
239.2729,5332.367946,-0.217117,-0.92569,0.059631,0.952679
242.2269,5332.397486,-0.133148,-0.991501,0.112274,1.006682
245.1809,5332.427026,-0.08905,-0.970932,0.104813,0.980625
248.1348,5332.456565,-0.124573,-0.998184,0.105057,1.011399
251.0888,5332.486105,-0.111954,-0.994736,0.095062,1.00552
254.0428,5332.515645,-0.210999,-0.943787,0.073654,0.969886
256.997,5332.545187,-0.109344,-0.977646,0.075043,0.9866
259.951,5332.574727,-0.233231,-0.970306,0.106049,1.003562
262.9049,5332.604266,-0.201645,-0.967499,0.1129,0.994716
265.8591,5332.633808,-0.091507,-0.987823,0.146423,1.0028
268.8129,5332.663346,-0.086441,-0.983795,0.218857,1.011545
271.7671,5332.692888,-0.004044,-1.020172,0.173264,1.034789
274.7209,5332.722426,-0.06308,-0.975327,0.127487,0.985644
277.6749,5332.751966,-0.077408,-0.987869,0.068466,0.99326
